Name,Symbol,Date, High , Low , Open , Close ,Volume, Marketcap 
Bitcoin,BTC,2017-09-05,4427.84,3998.11 ,4228.29,4376.53 ,2697969920,72417728536.00 
Bitcoin,BTC,2017-09-06,4617.25,4376.59 ,4376.59,4597.12 ,2172100096,76077049312.00 
Bitcoin,BTC,2017-09-07,4655.04,4491.33 ,4589.14,4599.88 ,1844620032,76132843874.00 
Bitcoin,BTC,2017-09-08,4661.00,4075.18 ,4605.16,4228.75 ,2700890112,69999555938.00 
Bitcoin,BTC,2017-09-09,4308.82,4114.11 ,4229.81,4226.06 ,1386230016,69963847482.00 
Bitcoin,BTC,2017-09-10,4245.44,3951.04 ,4229.34,4122.94 ,1679090048,68263826801.00 
Bitcoin,BTC,2017-09-11,4261.67,4099.40 ,4122.47,4161.27 ,1557330048,68907352119.00 
Bitcoin,BTC,2017-09-12,4344.65,4085.22 ,4168.88,4130.81 ,1864530048,68412822896.00 
Bitcoin,BTC,2017-09-13,4131.98,3789.92 ,4131.98,3882.59 ,2219409920,64311123695.00 
Bitcoin,BTC,2017-09-14,3920.60,3153.86 ,3875.37,3154.95 ,2716310016,52265453816.00 
Bitcoin,BTC,2017-09-15,3733.45,2946.62 ,3166.30,3637.52 ,4148069888,60267886368.00 
Bitcoin,BTC,2017-09-16,3808.84,3487.79 ,3637.75,3625.04 ,1818400000,60068678195.00 
Bitcoin,BTC,2017-09-17,3664.81,3445.64 ,3606.28,3582.88 ,1239149952,59377995376.00 
Bitcoin,BTC,2017-09-18,4079.23,3591.09 ,3591.09,4065.20 ,1943209984,67377945990.00 
Bitcoin,BTC,2017-09-19,4094.07,3868.87 ,4073.79,3924.97 ,1563980032,65061185838.00 
Bitcoin,BTC,2017-09-20,4031.39,3857.73 ,3916.36,3905.95 ,1213830016,64751811835.00 
Bitcoin,BTC,2017-09-21,3916.42,3613.63 ,3901.47,3631.04 ,1411480064,60202370872.00 
Bitcoin,BTC,2017-09-22,3758.27,3553.53 ,3628.02,3630.70 ,1194829952,60203040223.00 
Bitcoin,BTC,2017-09-23,3819.21,3594.58 ,3629.92,3792.40 ,928113984,62892069389.00 
Bitcoin,BTC,2017-09-24,3796.15,3666.90 ,3796.15,3682.84 ,768014976,61081971156.00 
Bitcoin,BTC,2017-09-25,3950.25,3681.58 ,3681.58,3926.07 ,1374210048,65122213849.00 
Bitcoin,BTC,2017-09-26,3969.89,3869.90 ,3928.41,3892.35 ,1043740032,64569365079.00 
Bitcoin,BTC,2017-09-27,4210.05,3884.82 ,3892.94,4200.67 ,1686880000,69691950752.00 
Bitcoin,BTC,2017-09-28,4279.31,4109.70 ,4197.13,4174.73 ,1712320000,69270823146.00 
Bitcoin,BTC,2017-09-29,4214.63,4039.29 ,4171.62,4163.07 ,1367049984,69086146650.00 
Bitcoin,BTC,2017-09-30,4358.43,4160.86 ,4166.11,4338.71 ,1207449984,72008428789.00 
Bitcoin,BTC,2017-10-01,4403.74,4269.81 ,4341.05,4403.74 ,1208210048,73094870674.00 
Bitcoin,BTC,2017-10-02,4470.23,4377.46 ,4395.81,4409.32 ,1431730048,73195646776.00 
Bitcoin,BTC,2017-10-03,4432.47,4258.89 ,4408.46,4317.48 ,1288019968,71681069637.00 
Bitcoin,BTC,2017-10-04,4352.31,4210.42 ,4319.37,4229.36 ,1116770048,70225033578.00 
Bitcoin,BTC,2017-10-05,4362.64,4164.05 ,4229.88,4328.41 ,1161769984,71876277937.00 
Bitcoin,BTC,2017-10-06,4413.27,4320.53 ,4324.46,4370.81 ,1069939968,72589262957.00 
Bitcoin,BTC,2017-10-07,4443.88,4321.05 ,4369.35,4426.89 ,906928000,73529314833.00 
Bitcoin,BTC,2017-10-08,4624.14,4405.64 ,4429.67,4610.48 ,1313869952,76589293760.00 
Bitcoin,BTC,2017-10-09,4878.71,4564.25 ,4614.52,4772.02 ,1968739968,79282158943.00 
Bitcoin,BTC,2017-10-10,4922.17,4765.10 ,4776.21,4781.99 ,1597139968,79457603224.00 
Bitcoin,BTC,2017-10-11,4873.73,4751.63 ,4789.25,4826.48 ,1222279936,80205238020.00 
Bitcoin,BTC,2017-10-12,5446.91,4822.00 ,4829.58,5446.91 ,2791610112,90525666972.00 
Bitcoin,BTC,2017-10-13,5840.30,5436.85 ,5464.16,5647.21 ,3615480064,93864253934.00 
Bitcoin,BTC,2017-10-14,5837.70,5591.64 ,5643.53,5831.79 ,1669030016,96942498331.00 
Bitcoin,BTC,2017-10-15,5852.48,5478.61 ,5835.96,5678.19 ,1976039936,94403031755.00 
Bitcoin,BTC,2017-10-16,5776.23,5544.21 ,5687.57,5725.59 ,2008070016,95203392843.00 
Bitcoin,BTC,2017-10-17,5800.35,5472.72 ,5741.58,5605.51 ,1821570048,93218297189.00 
Bitcoin,BTC,2017-10-18,5603.82,5151.44 ,5603.82,5590.69 ,2399269888,92982539106.00 
Bitcoin,BTC,2017-10-19,5744.35,5531.06 ,5583.74,5708.52 ,1780540032,94954808115.00 
Bitcoin,BTC,2017-10-20,6060.11,5627.23 ,5708.11,6011.45 ,2354429952,100007000000.00 
Bitcoin,BTC,2017-10-21,6194.88,5965.07 ,5996.79,6031.60 ,2207099904,100354000000.00 
Bitcoin,BTC,2017-10-22,6076.26,5792.34 ,6036.66,6008.42 ,2034630016,99981911326.00 
Bitcoin,BTC,2017-10-23,6075.59,5732.47 ,6006.00,5930.32 ,2401840128,98695054084.00 
Bitcoin,BTC,2017-10-24,5935.52,5504.18 ,5935.52,5526.64 ,2735699968,91988225800.00 
Bitcoin,BTC,2017-10-25,5754.33,5397.88 ,5524.60,5750.80 ,1966989952,95732630220.00 
Bitcoin,BTC,2017-10-26,5976.80,5721.22 ,5747.95,5904.83 ,1905040000,98310176011.00 
Bitcoin,BTC,2017-10-27,5988.39,5728.82 ,5899.74,5780.90 ,1710130048,96254297360.00 
